Prompt,length
"Digital Art, 32k, a group of people wearing white robes are gathered around a table with documents",22
"Digital Art, 32k, an elderly woman with a headscarf is reading a book in a library",15
"Digital Art, 32k, a woman in a lab coat looking at a microscope",32
"Digital Art, 32k, An Indian woman wearing a sari is giving a speech to a group of people in a room.",42
"Digital Art, 32k, people sitting in a meeting discussing the action points of the two day WHO Traditional Medicine Global Summit 2023 held at Gandhinagar Gujarat",28
"Digital Art, 32k, group of people discussing health and wellbeing of people and the planet at a conference",42
"Digital Art, 32k, a man in formal wear standing in front of a podium with a microphone in his hand",30
"Digital Art, 32k, a group of people working together in a laboratory to create a new sustainable product",16
"Digital Art, 32k, a male doctor is speaking at a conference on traditional medicine",61
"Digital Art, 32k, a group of people are discussing the importance of traditional medicine in a meeting",36
"Digital Art, 32k, multiregional multidisciplinary and multistakeholder collaborations demonstrated at the global summit through the who gctm",42
"Digital Art, 32k, a group of doctors and nurses are discussing the latest medical research in a hospital conference room",16
"Digital Art, 32k, group of people in a meeting discussing about new tcim products",14
"Digital Art, 32k, a doctor in a hospital room talking to a patient about their health",40
"Digital Art, 32k, of a group of doctors and nurses in a hospital setting",26
"Digital Art, 32k, a group of people are discussing how to use digital health technologies and artificial intelligence to improve peoples health",35
"Digital Art, 32k, a group of people are discussing the importance of protecting biodiversity",43
"Digital Art, 32k, a group of people of different ethnicities standing in a circle and holding hands",22
"Digital Art, 32k, A diverse group of people of different ages, ethnicities, and genders are gathered in a room to discuss the ethical implications of using technology in healthcare.",10
"Digital Art, 32k, an indian man in a white shirt and blue tie is giving a speech at a conference",29
